   n, insertion_cmp, insertion_swaps, insertion_time, quick_cmp, quick_swaps, quick_time, selection_cmp, selection_swaps, selection_time, merge_cmp, merge_swaps, merge_time
   0,             0,               0,              0,         0,           0,          0,             0,               0,              0,         0,           0,          0
   1,             0,               0,              0,         0,           0,          0,             0,               0,              0,         0,           0,          0
   2,             1,               0,              0,         1,           1,          0,             1,               0,              0,         1,           0,          0
   3,             3,               1,              0,         3,           1,          0,             3,               1,              0,         3,           0,          0
   4,             4,               1,              0,         6,           2,          0,             6,               1,              0,         5,           0,          0
   5,             8,               4,              0,         8,           2,          0,            10,               2,              0,         7,           0,          0
   6,            11,               6,              0,        12,           5,          0,            15,               2,              0,        11,           0,          0
   7,            16,              10,              0,        18,           6,          0,            21,               4,              0,        13,           0,          0
   8,            20,              13,              0,        21,           7,          0,            28,               5,              0,        16,           0,          0
   9,            26,              18,              1,        26,           7,          0,            36,               6,              0,        20,           0,          0
  10,            28,              19,              0,        33,           8,          0,            45,               7,              0,        24,           0,          0
  11,            30,              20,              0,        39,           9,          0,            55,               8,              0,        28,           0,          0
  12,            33,              22,              0,        41,          10,          0,            66,               8,              0,        31,           0,          0
  13,            34,              22,              0,        53,          11,          0,            78,               8,              0,        35,           0,          0
  14,            42,              29,              0,        52,          13,          0,            91,               9,              0,        38,           0,          0
  15,            51,              37,              0,        61,          15,          0,           105,              11,              0,        42,           0,          0
  16,            62,              47,              0,        63,          16,          0,           120,              13,              0,        46,           0,          0
  17,            78,              62,              0,        80,          18,          0,           136,              12,              0,        50,           0,          0
  18,            91,              74,              0,        77,          21,          0,           153,              16,              0,        54,           0,          0
  19,            96,              78,              0,        93,          22,          0,           171,              16,              0,        61,           0,          0
  20,           110,              91,              0,        96,          25,          0,           190,              17,              0,        65,           0,          0
  21,           128,             108,              0,       110,          22,          0,           210,              18,              0,        66,           0,          0
  22,           131,             110,              0,       115,          25,          0,           231,              18,              0,        74,           0,          0
  23,           132,             110,              0,       137,          26,          0,           253,              18,              0,        77,           0,          0
  24,           154,             131,              0,       119,          25,          0,           276,              19,              1,        80,           0,          0
  25,           176,             152,              0,       152,          25,          0,           300,              16,              0,        88,           0,          0
  26,           189,             164,              0,       140,          28,          0,           325,              20,              1,        93,           0,          0
  27,           213,             187,              0,       153,          30,          0,           351,              21,              0,        97,           0,          0
  28,           235,             208,              1,       176,          32,          0,           378,              24,              1,       101,           0,          0
  29,           250,             222,              0,       166,          37,          0,           406,              26,              0,       108,           0,          0
  30,           266,             237,              1,       172,          37,          0,           435,              27,              0,       112,           0,          0
  31,           275,             245,              0,       188,          41,          0,           465,              27,              0,       117,           0,          0
  32,           286,             255,              0,       179,          43,          0,           496,              29,              0,       120,           0,          0
  33,           312,             280,              0,       210,          40,          0,           528,              30,              0,       125,           0,          0
  34,           342,             309,              0,       230,          43,          0,           561,              27,              0,       131,           0,          0
  35,           373,             339,              1,       232,          49,          0,           595,              31,              0,       136,           0,          0
  36,           385,             350,              1,       229,          48,          0,           630,              32,              0,       145,           0,          0
  37,           414,             378,              1,       222,          48,          0,           666,              32,              0,       146,           0,          0
  38,           437,             400,              0,       248,          51,          0,           703,              32,              0,       155,           0,          0
  39,           457,             419,              0,       248,          51,          0,           741,              35,              0,       163,           0,          0
  40,           482,             443,              2,       246,          54,          0,           780,              37,              0,       167,           0,          0
  41,           513,             473,              0,       257,          51,          1,           820,              37,              0,       172,           0,          1
  42,           535,             494,              0,       272,          58,          0,           861,              36,              0,       173,           0,          0
  43,           573,             531,              0,       285,          55,          1,           903,              39,              0,       183,           0,          0
  44,           580,             537,              0,       326,          54,          0,           946,              39,              0,       193,           0,          0
  45,           618,             574,              0,       323,          62,          0,           990,              40,              0,       200,           0,          0
  46,           622,             577,              1,       336,          66,          0,          1035,              41,              0,       196,           0,          0
  47,           656,             610,              0,       326,          68,          0,          1081,              44,              0,       201,           0,          0
  48,           692,             645,              1,       388,          63,          0,          1128,              43,              0,       206,           0,          0
  49,           720,             672,              0,       320,          67,          1,          1176,              40,              0,       212,           0,          0
  50,           735,             686,              2,       366,          63,          0,          1225,              46,              0,       222,           0,          1
  51,           776,             726,              0,       374,          67,          1,          1275,              44,              0,       228,           0,          0
  52,           789,             738,              0,       371,          72,          0,          1326,              46,              1,       238,           0,          0
  53,           791,             739,              0,       423,          66,          0,          1378,              47,              0,       237,           0,          0
  54,           832,             779,              0,       375,          77,          0,          1431,              49,              1,       247,           0,          0
  55,           863,             809,              0,       390,          81,          0,          1485,              51,              0,       249,           0,          0
  56,           882,             827,              1,       401,          86,          0,          1540,              53,              0,       252,           0,          0
  57,           896,             840,              1,       412,          80,          0,          1596,              54,              1,       260,           0,          0
  58,           906,             849,              1,       414,          84,          0,          1653,              55,              0,       269,           0,          0
  59,           947,             889,              0,       434,          90,          0,          1711,              57,              0,       279,           0,          0
  60,           960,             901,              1,       473,          93,          0,          1770,              57,              0,       283,           0,          0
  61,          1020,             961,              1,       553,          92,          0,          1830,              55,              0,       288,           0,          0
