  n, insertion_cmp, insertion_swaps, insertion_time, quick_cmp, quick_swaps, quick_time
  0,             0,               0,              0,         0,           0,          0
  1,             0,               0,              0,         0,           0,          0
  2,             1,               1,              0,         2,           1,          0
  3,             2,               1,              0,         4,           2,          0
  4,             4,               2,              0,         6,           2,          0
  5,             5,               2,              0,        10,           3,          0
  6,            10,               6,              0,        15,           4,          0
  7,            13,               8,              0,        18,           6,          0
  8,            20,              15,              0,        26,           7,          0
  9,            26,              20,              0,        26,           8,          0
 10,            34,              27,              0,        32,           9,          0
 11,            40,              32,              0,        41,          12,          0
 12,            44,              35,              0,        49,          13,          0
 13,            55,              45,              0,        49,          11,          0
 14,            59,              48,            999,        54,          15,          0
 15,            67,              55,              0,        64,          17,          0
 16,            70,              57,              0,        74,          18,          0
 17,            83,              69,              0,        84,          17,          0
 18,            92,              77,              0,        78,          20,          0
 19,            95,              79,              0,       104,          21,          0
 20,           114,              98,              0,       113,          22,          0
 21,           133,             116,              0,       126,          24,          0
 22,           154,             136,              0,       140,          23,       1003
 23,           168,             149,              0,       129,          29,        999
 24,           182,             162,              0,       123,          30,          0
 25,           198,             177,            998,       134,          34,          0
 26,           211,             189,            999,       135,          34,       1002
 27,           235,             212,              0,       159,          36,          0
 28,           241,             217,           1000,       175,          35,          0
 29,           248,             223,              0,       182,          37,          0
 30,           255,             229,           1000,       167,          39,          0
 31,           268,             241,              0,       183,          42,          0
 32,           280,             252,              0,       199,          38,          0
 33,           293,             264,              0,       210,          40,          0
 34,           321,             291,              0,       213,          46,          0
 35,           329,             298,           1000,       211,          43,       1003
 36,           357,             325,            998,       222,          48,          0
 37,           386,             353,           1002,       233,          47,          0
 38,           415,             381,              0,       255,          49,        998
 39,           419,             384,              0,       276,          48,          0
 40,           458,             423,           1999,       274,          54,          0
 41,           486,             450,           1997,       244,          56,          0
 42,           508,             471,              0,       293,          62,        998
 43,           538,             500,              0,       272,          59,          0
 44,           544,             505,            998,       289,          58,          0
 45,           558,             518,            999,       304,          63,          0
 46,           580,             539,              0,       324,          66,       1001
 47,           610,             568,           2010,       298,          67,          0
 48,           635,             592,           1993,       332,          63,        998
 49,           677,             633,           2000,       328,          67,          0
 50,           716,             671,            997,       372,          70,          0
 51,           726,             680,            999,       370,          73,        999
 52,           729,             682,           1002,       416,          72,          0
 53,           748,             700,            998,       349,          75,          0
 54,           800,             751,            999,       502,          72,          0
 55,           848,             798,           1000,       390,          77,          0
 56,           884,             833,           3009,       406,          81,        991
 57,           908,             856,           2003,       404,          82,          0
 58,           949,             896,            997,       415,          88,          0
 59,          1007,             953,           1997,       488,          81,          0
 60,          1018,             963,           3002,       458,          86,          0
 61,          1067,            1011,            998,       491,          93,          0
 62,          1098,            1041,           1999,       438,          98,          0
 63,          1105,            1047,           3001,       488,          95,          0
 64,          1129,            1070,            995,       510,          99,          0
 65,          1139,            1079,           1000,       515,         100,          0
 66,          1190,            1129,           1999,       536,         104,          0
 67,          1252,            1190,           2003,       533,         108,        998
 68,          1318,            1255,           2001,       623,         101,        999
 69,          1382,            1318,            997,       581,         112,          0
 70,          1448,            1383,           1999,       722,         105,          0
 71,          1502,            1436,           3004,       551,         113,          0
 72,          1503,            1436,           1997,       622,         114,          0
 73,          1571,            1503,           3001,       600,         116,          0
 74,          1616,            1547,           1997,       538,         118,          0
 75,          1682,            1612,           2000,       608,         113,          0
 76,          1706,            1635,           2000,       646,         120,          0
 77,          1710,            1638,           3000,       684,         128,          0
 78,          1746,            1673,           2002,       612,         128,          0
 79,          1814,            1740,           2004,       656,         128,          0
 80,          1819,            1744,           2999,       691,         124,          0
 81,          1859,            1783,           3999,       676,         129,          0
 82,          1882,            1805,           3999,       699,         132,          0
 83,          1933,            1855,           3002,       678,         138,          0
 84,          1938,            1859,           2997,       739,         134,       1000
 85,          1983,            1903,           2999,       716,         135,          0
 86,          2010,            1929,           3999,       790,         139,          0
 87,          2055,            1973,           3000,       752,         136,          0
 88,          2094,            2011,           1998,       732,         145,       1000
 89,          2130,            2046,           1999,       740,         148,       1000
 90,          2185,            2100,           1999,       787,         146,          0
 91,          2198,            2112,           1999,       795,         153,       1000
 92,          2212,            2125,           4002,       801,         153,          0
 93,          2255,            2167,           1997,       734,         162,          0
 94,          2295,            2206,           2999,       765,         161,          0
 95,          2303,            2213,           1999,       819,         157,          0
 96,          2379,            2288,           2002,       831,         160,        997
 97,          2421,            2329,           4003,       813,         165,          0
 98,          2517,            2424,           2995,      1011,         167,          0
 99,          2602,            2508,           2999,       863,         168,       1000
100,          2664,            2569,           1999,       867,         168,       1000
