    n, insertion_cmp, insertion_swaps, insertion_time, quick_cmp, quick_swaps, quick_time, selection_cmp, selection_swaps, selection_time, merge_cmp, merge_swaps, merge_time
    0,             0,               0,              0,         0,           0,          0,             0,               0,              0,         0,           0,          0
    1,             0,               0,              0,         0,           0,          0,             0,               0,              0,         0,           0,          0
    2,             1,               0,              0,         1,           1,          0,             1,               0,              0,         1,           0,          0
    3,             2,               0,              0,         3,           2,          0,             3,               0,              0,         3,           0,          0
    4,             5,               3,              0,         9,           3,          0,             6,               3,              0,         5,           0,          0
    5,             7,               4,              0,        12,           4,          0,            10,               4,              0,         7,           0,          0
    6,            12,               9,              0,        16,           5,          0,            15,               3,              0,        10,           0,          0
    7,            18,              15,              0,        22,           7,          0,            21,               5,              0,        13,           0,          0
    8,            25,              21,              0,        26,           8,          0,            28,               5,              0,        16,           0,          0
    9,            28,              23,              0,        29,          10,          0,            36,               7,              0,        21,           0,          0
   10,            35,              29,              0,        37,          11,          0,            45,               9,              0,        22,           0,          0
   11,            36,              29,              0,        47,          12,          0,            55,               9,              0,        26,           0,          0
   12,            46,              38,              0,        46,          10,          0,            66,               6,              0,        31,           0,          0
   13,            50,              41,              0,        53,          12,          0,            78,               7,              0,        34,           0,          0
   14,            56,              46,              0,        55,          13,          0,            91,              10,              0,        40,           0,          0
   15,            60,              49,              0,        62,          16,          0,           105,              11,              0,        44,           0,          0
   16,            69,              57,              0,        69,          18,          0,           120,              11,              0,        48,           0,          0
   17,            72,              59,              0,        81,          20,          0,           136,              13,              0,        52,           0,          0
   18,            87,              73,              1,        89,          19,          0,           153,              15,              0,        58,           0,          0
   19,            97,              82,              0,        85,          22,          0,           171,              16,              0,        61,           0,          0
   20,           101,              85,              0,        95,          21,          0,           190,              17,              0,        66,           0,          0
   21,           112,              95,              0,       104,          25,          0,           210,              17,              0,        70,           0,          0
   22,           113,              95,              0,       125,          26,          0,           231,              17,              0,        73,           0,          0
   23,           116,              97,              0,       133,          25,          0,           253,              19,              0,        79,           0,          0
   24,           126,             106,              0,       122,          27,          1,           276,              22,              0,        83,           0,          0
   25,           147,             126,              0,       128,          28,          0,           300,              20,              0,        89,           0,          0
   26,           159,             137,              0,       142,          32,          0,           325,              21,              0,        91,           0,          0
   27,           176,             153,              1,       156,          34,          0,           351,              25,              0,       100,           0,          0
   28,           182,             158,              0,       159,          35,          0,           378,              24,              0,       105,           0,          0
   29,           189,             164,              0,       164,          37,          0,           406,              26,              0,       112,           0,          0
   30,           211,             185,              0,       159,          37,          0,           435,              25,              0,       112,           0,          0
   31,           241,             215,              1,       201,          37,          0,           465,              29,              0,       119,           0,          0
   32,           268,             241,              0,       207,          39,          0,           496,              31,              1,       124,           0,          0
   33,           294,             266,              0,       204,          44,          0,           528,              26,              0,       130,           0,          0
   34,           318,             289,              0,       211,          45,          0,           561,              29,              0,       131,           0,          0
   35,           346,             316,              1,       257,          43,          0,           595,              30,              0,       138,           0,          0
   36,           381,             350,              1,       273,          50,          0,           630,              32,              0,       146,           0,          0
   37,           397,             365,              0,       254,          51,          0,           666,              31,              0,       153,           0,          0
   38,           431,             398,              1,       244,          52,          0,           703,              32,              0,       152,           0,          0
   39,           469,             436,              0,       266,          51,          0,           741,              34,              1,       157,           0,          0
   40,           497,             463,              0,       244,          59,          0,           780,              37,              0,       162,           0,          0
   41,           512,             477,              0,       267,          63,          1,           820,              37,              0,       169,           0,          0
   42,           514,             478,              0,       287,          62,          0,           861,              38,              0,       178,           0,          0
   43,           519,             482,              0,       310,          58,          0,           903,              38,              0,       182,           0,          0
   44,           531,             493,              1,       288,          61,          0,           946,              41,              0,       184,           0,          0
   45,           575,             537,              0,       312,          64,          0,           990,              43,              0,       193,           0,          0
   46,           618,             579,              1,       324,          65,          0,          1035,              43,              0,       198,           0,          1
   47,           633,             593,              0,       316,          69,          0,          1081,              43,              0,       202,           0,          0
   48,           652,             611,              0,       310,          69,          0,          1128,              45,              1,       207,           0,          0
   49,           696,             654,              0,       343,          68,          0,          1176,              42,              0,       212,           0,          0
   50,           723,             680,              0,       332,          77,          1,          1225,              44,              0,       224,           0,          0
   51,           753,             709,              1,       371,          72,          0,          1275,              45,              0,       223,           0,          0
   52,           804,             759,              0,       406,          78,          0,          1326,              47,              0,       230,           0,          0
   53,           855,             809,              0,       421,          77,          0,          1378,              47,              0,       235,           0,          0
   54,           905,             858,              0,       467,          76,          0,          1431,              52,              0,       243,           0,          0
   55,           927,             879,              1,       389,          84,          0,          1485,              49,              0,       254,           0,          0
   56,           973,             924,              1,       418,          87,          0,          1540,              52,              0,       258,           0,          1
   57,          1026,             976,              0,       519,          79,          0,          1596,              54,              0,       264,           0,          0
   58,          1036,             985,              1,       443,          88,          0,          1653,              53,              0,       274,           0,          0
   59,          1091,            1039,              1,       486,          87,          0,          1711,              51,              0,       271,           0,          0
   60,          1134,            1081,              2,       458,          89,          0,          1770,              53,              0,       281,           0,          0
