  n, insertion_cmp, insertion_swaps, insertion_time, quick_cmp, quick_swaps, quick_time, selection_cmp, selection_swaps, selection_time, merge_cmp, merge_swaps, merge_time
  0,             0,               0,              0,         0,           0,          0,             0,               0,              0,         0,           0,          0
  1,             0,               0,              0,         0,           0,          0,             0,               0,              0,         0,           0,          0
  2,             1,               1,              0,         2,           1,          0,             1,               1,              0,         1,           0,          0
  3,             2,               1,              0,         4,           2,          0,             3,               1,              0,         3,           0,          0
  4,             4,               2,              0,         6,           2,          0,             6,               2,              0,         4,           0,          0
  5,             5,               2,              0,        10,           3,          0,            10,               2,              0,         6,           0,          0
  6,            10,               6,              0,        15,           4,          0,            15,               4,              0,        10,           0,          0
  7,            13,               8,              0,        18,           6,          0,            21,               4,              0,        13,           0,          0
  8,            20,              15,              0,        26,           7,          0,            28,               5,              0,        16,           0,          0
  9,            26,              20,              0,        26,           8,          0,            36,               6,              0,        20,           0,          0
 10,            34,              27,              0,        32,           9,          0,            45,               7,              0,        22,           0,          0
 11,            40,              32,              0,        41,          12,          0,            55,               8,              0,        27,           0,       1022
 12,            44,              35,              0,        49,          13,          0,            66,               9,              0,        31,           0,          0
 13,            55,              45,              0,        49,          11,          0,            78,               9,              0,        34,           0,          0
 14,            59,              48,              0,        54,          15,          0,            91,              10,              0,        37,           0,          0
 15,            67,              55,              0,        64,          17,          0,           105,              11,              0,        41,           0,          0
 16,            70,              57,              0,        74,          18,          0,           120,              13,              0,        45,           0,        999
 17,            83,              69,              0,        84,          17,          0,           136,              11,              0,        49,           0,          0
 18,            92,              77,              0,        78,          20,          0,           153,              11,            981,        56,           0,          0
 19,            95,              79,              0,       104,          21,          0,           171,              11,              0,        59,           0,          0
 20,           114,              98,              0,       113,          22,          0,           190,              16,            995,        63,           0,          0
 21,           133,             116,              0,       126,          24,          0,           210,              16,              0,        68,           0,          0
 22,           154,             136,              0,       140,          23,          0,           231,              18,              0,        74,           0,        998
 23,           168,             149,              0,       129,          29,          0,           253,              21,              0,        81,           0,          0
 24,           182,             162,              0,       123,          30,          0,           276,              22,              0,        86,           0,        998
 25,           198,             177,              0,       134,          34,          0,           300,              21,              0,        90,           0,          0
 26,           211,             189,              0,       135,          34,          0,           325,              23,            999,        90,           0,          0
 27,           235,             212,              0,       159,          36,          0,           351,              24,              0,        92,           0,          0
 28,           241,             217,            999,       175,          35,          0,           378,              23,              0,       102,           0,          0
 29,           248,             223,              0,       182,          37,          0,           406,              25,           1000,       107,           0,          0
 30,           255,             229,              0,       167,          39,          0,           435,              27,              0,       109,           0,          0
 31,           268,             241,            999,       183,          42,          0,           465,              27,              0,       116,           0,          0
 32,           280,             252,              0,       199,          38,       1000,           496,              26,              0,       121,           0,          0
 33,           293,             264,              0,       210,          40,          0,           528,              26,           1000,       127,           0,          0
 34,           321,             291,              0,       213,          46,          0,           561,              31,              0,       131,           0,       1000
 35,           329,             298,              0,       211,          43,          0,           595,              32,              0,       142,           0,          0
 36,           357,             325,           1000,       222,          48,          0,           630,              31,              0,       147,           0,          0
 37,           386,             353,            998,       233,          47,          0,           666,              31,              0,       151,           0,          0
 38,           415,             381,            999,       255,          49,          0,           703,              33,              0,       152,           0,          0
 39,           419,             384,           1001,       276,          48,          0,           741,              34,              0,       154,           0,          0
 40,           458,             423,            998,       274,          54,          0,           780,              37,           1006,       160,           0,        995
 41,           486,             450,            998,       244,          56,          0,           820,              40,           1000,       166,           0,        999
 42,           508,             471,           1000,       293,          62,        999,           861,              37,              0,       174,           0,        999
 43,           538,             500,            999,       272,          59,        999,           903,              36,              0,       181,           0,          0
 44,           544,             505,              0,       289,          58,          0,           946,              39,              0,       189,           0,          0
 45,           558,             518,           1003,       304,          63,          0,           990,              42,            989,       191,           0,        997
 46,           580,             539,           2000,       324,          66,       1003,          1035,              43,              0,       202,           0,        999
 47,           610,             568,              0,       298,          67,          0,          1081,              44,              0,       208,           0,       1000
 48,           635,             592,           2004,       332,          63,        996,          1128,              40,              0,       214,           0,          0
 49,           677,             633,           1996,       328,          67,          0,          1176,              41,              0,       218,           0,          0
 50,           716,             671,            998,       372,          70,          0,          1225,              47,            999,       221,           0,          0
 51,           726,             680,            999,       370,          73,          0,          1275,              48,              0,       227,           0,          0
 52,           729,             682,              0,       416,          72,          0,          1326,              50,            999,       237,           0,          0
 53,           748,             700,           1000,       349,          75,          0,          1378,              52,            999,       234,           0,          0
 54,           800,             751,           1000,       502,          72,          0,          1431,              47,           2003,       242,           0,        999
 55,           848,             798,           1014,       390,          77,          0,          1485,              48,              0,       255,           0,       1003
 56,           884,             833,              0,       406,          81,          0,          1540,              53,            981,       259,           0,        998
 57,           908,             856,           2002,       404,          82,        999,          1596,              52,            998,       264,           0,        999
 58,           949,             896,           2001,       415,          88,          0,          1653,              54,           1019,       272,           0,          0
 59,          1007,             953,           1980,       488,          81,          0,          1711,              57,            997,       272,           0,          0
 60,          1018,             963,           2000,       458,          86,          0,          1770,              57,           1000,       281,           0,          0
